"PaperId","Collaboration","Competiition_Achievement","Femininewords","IndividualfocusedPronouns","Innovation","Integrity","Learning","Masculinewords","Openness","Otherfocusedpronouns","Policing","ProsocialMotives","Reproducibility","TeamfocusedPronouns","Team_Communality","Tag","IndexedAbstract","Title"
2060148929,0.0181818181818182,0,0,0,0.00909090909090909,0.0181818181818182,0.0272727272727273,0,0.00909090909090909,0,0,0.0181818181818182,0,0,0,"OpenScience","The reproduction and replication of reported scientific results is a hot topic within the academic community. The retraction of numerous studies from a wide range of disciplines, from climate science to bioscience, has drawn the focus of many commentators, but there exists a wider socio-cultural problem that pervades the scientific community. Sharing code, data and models often requires extra effort, this is currently seen as a significant overhead that may not be worth the time investment. Automated systems, which allow easy reproduction of results, offer the potential to incentives a culture change and drive the adoption of new techniques to improve the efficiency of scientific exploration. In this paper, we discuss the value of improved access and sharing of the two key types of results arising from work done in the computational sciences: models and algorithms. We propose the development of an integrated cloud-based system underpinning computational science, linking together software and data repositories, tool chains, workflows and outputs, providing a seamless automated infrastructure for the verification and validation of scientific models and in particular, performance benchmarks.","""""""""Share and Enjoy"""""""": Publishing Useful and Usable Scientific Models"
2541873369,0,0.0104166666666667,0.0104166666666667,0,0.0104166666666667,0,0,0.0104166666666667,0.0416666666666667,0,0,0.0208333333333333,0,0,0,"OpenScience","AbstractThe Open Science (OS) movement promises nothing less than a revolution in the availability of scientific knowledge around the globe. By removing barriers to online data and encouraging publication in Open Access formats and Open Data archives, OS seeks to expand the role, reach and value of research. The promises of OS imply a set of expectations about what different publics hope to gain from research, how accountability and participation can be enhanced, and what makes science public in the first place. This paper presents empirical material from fieldwork undertaken in (bio)chemistry laboratories in Kenya and South Africa to examine the extent to which these ideals can be realized in a sub-Saharan context. To analyse the challenges African researchers face in making use of freely available data, we draw from Amartya Sen’s Capabilities Approach. His theorisations of ‘conversion factors’ helps to understand how seemingly minor economic and social contingencies can hamper the production and (re-)us...","“$100 Is not much to you”: Open science and neglected accessibilities for scientific research in Africa"
1509516987,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,"OpenScience","This paper presents an historic view on diaries and correspondence; in particular, how information related to weather was personally recorded and how Antarctic weather conditions influenced the expedition members in the Heroic Age (1897–1922). The paper is based on a presentation made at the Scientific Committee on Antarctic Research Open Science Conference in Auckland 2014. In this study, diaries have been used from the German “Gauss”-Expedition (also known as the “German South Polar Expedition”), led by Erich von Drygalski and the British “Discovery”-Expedition (also known as the “British National Antarctic Expedition”), led by Robert Falcon Scott. Both expeditions were undertaken during the period from 1901 through 1904. The timeframe is of particular interest, because it is a time when the men who went south did not have reliable comparative accounts in order to adequately mentally prepare for what they were about to experience. To put the research into a wider context, there are links drawn between o...","“Blizzard blowing again and considerable discomfort on board as usual.” Personal accounts of weather as scientific data, and the weather’s influence on expedition members during the Heroic Age"
2025270381,0,0.0567375886524823,0,0,0,0,0.0212765957446809,0.00709219858156028,0,0,0,0.0141843971631206,0,0,0,"OpenScience","In this paper we analyse how the science sector's incentive structure strongly contributes to the development of science and of the economy, even if, in the same time, it can cause large disparities in size and productivity of scientific sectors of different countries. In order to show that, we adopt a Schumpeterian growth model where the resources allocated to science are endogenously determined within the economy and science is organised according to the institution of “Open Science”. This latter consists in a self-reinforcing code of conduct, which comprises an incentive scheme based on the priority rule, and on the presence of both real rewards and social rewards. Social rewards take two main forms according to the source concerned: one is the social reward deriving from major innovations; another consists in high reputation enjoyed by researchers who put a high level of effort into their job, and devote themselves to the advancement of science. This set of rules causes the emergence of two locally stable steady-states: a low equilibrium, where the economy is endowed with a small science sector; and a high equilibrium, where the economy has a large science sector with rapid knowledge advancement. The two equilibria can account for the huge differences currently existing between scientific sectors of more developed and less developed countries. Comparative static results further characterise the two equilibria, since monetary and social rewards have different effects according to the type of equilibrium that emerges.","“Little Science” and “Big Science”: The institution of “Open Science” as a cause of scientific and economic inequalities among countries"
2155922502,0.0227272727272727,0.0113636363636364,0,0,0,0,0,0.0227272727272727,0,0,0.0113636363636364,0.0227272727272727,0.0227272727272727,0,0.0227272727272727,"Reproducibility","The “memory of water” was a major international controversy that remains unresolved. Taken seriously or not, this hypothesis leads to logical contradictions in both cases. Indeed, if this hypothesis is held as wrong, then we have to explain how a physiological signal emerged from the background and we have to elucidate a bulk of coherent results. If this hypothesis is held as true, we must explain why these experiments were difficult to reproduce by other teams and why some blind experiments were so disturbing for the expected outcomes. In this article, a third way is proposed by modeling these experiments in a quantum-like probabilistic model. It is interesting to note that this model does not need the hypothesis of the “memory of water” and, nevertheless, all the features of Benveniste’s experiments are taken into account (emergence of a signal from the background, difficulties faced by other teams in terms of reproducibility, disturbances during blind experiments, and apparent “jumps of activity” between samples). In conclusion, it is proposed that the cognitive states of the experimenter exhibited quantum-like properties during Benveniste’s experiments.","“Memory of Water” Without Water: The Logic of Disputed Experiments"
2768443735,0,0,0,0,0,0,0.0227272727272727,0,0.159090909090909,0,0,0.0113636363636364,0,0,0,"OpenScience","Over the past two decades, openness (e.g. ‘open’ innovation, ‘open’ education and ‘open’ strategy) has been of increasing interest for researchers and of increasing relevance to practitioners. Openness is often deeply embedded in information technology (IT) and can be both a driver for and a result of innovative IT. To clarify the concept of “openness”, we provide an overview of the scope of cross-disciplinary research on openness. Based on this overview, we develop a framework of openness, which proposes a higher-order concept of “openness” characterised by transparency, access, participation and democracy. The framework further distinguishes open resources, open processes and the effects of opening on particular domains. To provide the historical context and to appreciate the role of IT in openness, we discuss two historical examples of openness: the introduction of an open science model in academia (openness without IT) and the emergence of open source software development (openness with IT). We conclude by highlighting some concerns with and limitations of “openness”.","“Openness” with and without Information Technology: a framework and a brief history"
2519957376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OpenScience","","“Science Fiesta!” Combining student-led community outreach with local culture"
2324727210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","[Impact of iterative reconstruction on shape reproducibility of three-dimensional computed tomography]."
2740582100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","[OP.7A.07] FEASIBILITY AND REPRODUCIBILITY OF INTRARENAL MEASUREMENTS OF PRESSURE AND FLOW: RESULTS OF THE HERA STUDY"
2740654812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","[PP.20.01] REPRODUCIBILITY OF DIFFERENT MEASURES OF ENDOTHELIAL FUNCTION"
2771908588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","0055 - RELIABILITY AND REPRODUCIBILITY OF THE 6 NATIONS REVISION TKR CLASSIFICATION"
2406493898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","1,500 scientists lift the lid on reproducibility"
2588558840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reproducibility","","1021Inter-study reproducibility of Feature Tracking, Single and Multi-breath-hold Tagging in severe Aortic Stenosis"
